"販売先予約番号","通知種別","プランコード","販売先コード","チェックイン日","チェックアウト日","泊数","室タイプ名（１）","利用客室合計数","お客様総合計人数","大人人員(男性)合計","大人人員(女性)合計","子供A人数合計","子供B人数合計","子供C人数合計","子供D人数合計","料金（大人男）（１）","料金（大人女）（１）","料金（子Ａ）（１）","料金（子Ｂ）（１）","料金（子Ｃ）（１）","料金（子Ｄ）（１）","プラン名","大人人数","備考","販売先名","料金単価区分","税サ区分"
"5065712677","予約","21399505","130","20261021","20261022","1","洋室ツイン36?","1","2","2","","0","0","0","0","","","","","","","(Shunkaiseki) Breakfast + Dinner Included","2","決済内容：エージェント精算★[flags]booker_is_genius** THIS RESERVATION HAS BEEN PRE-PAID **Higher floor preferred130640821(スタンダードルーム　マウンテンビュー)：禁煙  1泊2食が客室料金に含まれています。  広々としたトリプルルームで、エアコン、セーフティボックス、専用バスルーム（バスタブ、シャワー付）が備わっています。このトリプルルームからは山を望め、電気ポット、暖房、薄型テレビが付いています。ユニットにはベッド3台があります。","Booking.com","室料単価","サ込税込"
"RYa0mwgsw5","取消","5584439","161","20260916","20260917","1","露天風呂付和室12.5畳","1","2","2","0","0","0","0","0","24057","","","","","","(インバウンド)【10％OFF】【楽天スーパーSALE】九州産黒毛和牛の陶板焼きなど「旬会席」を堪能（2食付）","2","決済内容：エージェント精算★朝夕食付LargeBed, NonSmoke2026-06-05 14:25:462026-06-05 14:39:56","楽天トラベル","人員単価","サ込税込"
"1734089317","取消","12807701","146","20260916","20260917","1","露天風呂付和室12.5畳","1","2","2","","0","","","","","","","","","","Hafboard - Pork shabu-shabu!","2","決済内容：エージェント精算★支払い方法：銀行振込朝夕食付[Requests]NonSmoke, LargeBed[Benefits]Dinner included, Breakfast, Parking, Free WiFi[ExtraBed]0 [Nationality]Taiwan [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"RYa0mwgub1","予約","5584439","161","20260916","20260917","1","露天風呂付和室12.5畳","1","2","2","0","0","0","0","0","24057","","","","","","(インバウンド)【10％OFF】【楽天スーパーSALE】九州産黒毛和牛の陶板焼きなど「旬会席」を堪能（2食付）","2","決済内容：エージェント精算★  支払額：\48,114朝夕食付LargeBed, NonSmoke2026-06-05 14:32:41","楽天トラベル","人員単価","サ込税込"
"RYa0mwgsw5","予約","5584439","161","20260916","20260917","1","露天風呂付和室12.5畳","1","2","2","0","0","0","0","0","24057","","","","","","(インバウンド)【10％OFF】【楽天スーパーSALE】九州産黒毛和牛の陶板焼きなど「旬会席」を堪能（2食付）","2","決済内容：エージェント精算★  支払額：\48,114朝夕食付LargeBed, NonSmoke2026-06-05 14:25:46","楽天トラベル","人員単価","サ込税込"
"1734331896","予約","12807546","146","20260721","20260722","1","和室12.5畳素泊まり部屋","1","4","2","","2","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke, TwinBeds[Benefits]Free WiFi, Parking[ExtraBed]0 [Nationality]Hong Kong SAR, China [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"6202408769-001-001","取消","I03","101","20261010","20261011","1","和室18畳","1","5","3","2","0","0","0","0","25300","25300","","","","","TA◆お部屋タイプお約束プラン／一泊二食付き","5","決済内容：エージェント精算★取消料は\0です。取消料はＪＴＢがお支払いします。予約内容が変更されていても、内訳詳細、内訳金額、宿泊料合計は予約時の金額で表示される場合がございます。※下記、取扱個所が［Agoda外国語］の場合については、取消料はＪＴＢがお支払いします。お客様への請求は不要です。　ただし、現地払いの一部取消で、宿泊されるお客様が既にご到着されている場合は、直接お客様よりご収受ください。残室数（通知作成時の残室状況です）：「本予約はHR客室在庫を使用(残室数は今現在の数値ではございません)」10月10日 X5 残室 ※室         05 残室 ※室","JTB事前決済_HR2","人員単価","サ込税込"
"6350944297","予約","21399505","130","20261009","20261010","1","露天風呂付和室12.5畳","2","7","5","","0","1","1","0","","","","","","","(Shunkaiseki) Breakfast + Dinner Included","5","決済内容：エージェント精算★[flags]booker_is_genius** THIS RESERVATION HAS BEEN PRE-PAID **Approximate time of arrival: between 14:00 and 15:00家族で2部屋予約しております。可能でしたら、2部屋を近くのお部屋にしていただけますと幸いです。よろしくお願いいたします。130640823(和室　スタンダードルーム　露天風呂付)：禁煙  1泊2食が客室料金に含まれています。  Guests will have a special experience as the family room features a private open-air bath. The family room provides air conditioning, tatami, as well as a private bathroom featuring a bath and a shower. The family room offers a flat-screen TV, a safe deposit box, an electric kettle and heating. The unit offers 4 futons.130640822(和室　スタンダードルーム　マウンテンビュー)：禁煙  1泊2食が客室料金に含まれています。  The family room offers air conditioning, tatami, as well as a private bathroom featuring a bath and a shower. The family room features a flat-screen TV, a safe deposit box, an electric kettle, heating as well as mountain views. The unit offers 4 futons.","Booking.com","室料単価","サ込税込"
"6664688602","予約","21399505","130","20261007","20261009","2","和室12.5畳","1","3","3","","0","0","0","0","","","","","","","(Shunkaiseki) Breakfast + Dinner Included","3","決済内容：エージェント精算★[flags]booker_is_genius** THIS RESERVATION HAS BEEN PRE-PAID **Approximate time of arrival: between 13:00 and 14:00130640822(和室　スタンダードルーム　マウンテンビュー)：禁煙  1泊2食が客室料金に含まれています。  The family room offers air conditioning, tatami, as well as a private bathroom featuring a bath and a shower. The family room features a flat-screen TV, a safe deposit box, an electric kettle, heating as well as mountain views. The unit offers 4 futons.","Booking.com","室料単価","サ込税込"
"0QM3FHKE","予約","00786092","166","20260718","20260720","2","和室18畳","1","5","5","","","","","","21230","","","","","","九州産黒毛和牛の陶板焼き、新鮮なお造りなど「旬会席」を堪能◆スタンダードプラン（2食付）","5","じゃらんクーポン利用(11000円)朝夕食付質問1：・ご到着が18：00を過ぎる場合は連絡をお願いします。・お子さま連れの場合は、お子さまの性別、年齢をお教えください。・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。・アレルギー等ございましたら、詳細と人数をご予約時にお知らせください。・複数の客室をご予約の場合、事前にお知らせください。クーポン名：6/1発行_期間中に使える11000円分クーポン過去宿泊実績：なし","じゃらんnet","人員単価","サ込税込"
"8UA0E3NF","予約","00786092","166","20260619","20260620","1","洋室ツイン36?","1","2","1","1","","","","","22330","22330","","","","","九州産黒毛和牛の陶板焼き、新鮮なお造りなど「旬会席」を堪能◆スタンダードプラン（2食付）","2","朝夕食付質問1：・ご到着が18：00を過ぎる場合は連絡をお願いします。・お子さま連れの場合は、お子さまの性別、年齢をお教えください。・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。・アレルギー等ございましたら、詳細と人数をご予約時にお知らせください。・複数の客室をご予約の場合、事前にお知らせください。(回答1：長崎を16：00に出ますので19：00頃の到着よていです。)過去宿泊実績：なし","じゃらんHPﾀﾞｲﾚｸﾄ","人員単価","サ込税込"
"2477010644","予約","386431682","147","20260905","20260906","1","和室12.5畳素泊まり部屋","1","2","2","","0","0","0","0","","","","","","","Room Only(1-4名)(LAR)","2","決済内容：カード決済★支払い方法：Expedia Collect[税合計]\5,460[Bedding type]4 Twin Futons [Smoking/Non-smoking]Non-Smoking [Payment instructions]Remittance amount: 26,741","Expedia","室料単価","サ込税込"
"6202409266-001-001","予約","G0D","101","20260616","20260617","1","露天風呂付和室12.5畳","1","2","2","0","0","0","0","0","30030","","","","","","【JAPANiCAN】夕食メインは黒毛和牛使用『ステーキ』","2","上記の精算額は未精算です[ｲﾝﾀｰﾈｯﾄ予約/現地払い]。宿泊料金・入湯税・宿泊税・その他館内の利用料金等、全ての料金を現地でお客様から収受してください。※下記、取扱個所が［Agoda外国語］or［Ctrip外国語］の場合については、取消料はＪＴＢがお支払いします。お客様への請求は不要です。ただし、現地払いの一部取消で、宿泊されるお客様が既にご到着されている場合は、直接お客様よりご収受ください。残室数（通知作成時の残室状況です）：「本予約はHR客室在庫を使用(残室数は今現在の数値ではございません)」06月16日 A8 残室 ※室         07 残室 ※室","JTB現地払_るるぶ","人員単価","サ込税込"
"6202408769-001-001","予約","I03","101","20261010","20261011","1","和室18畳","1","5","3","2","0","0","0","0","25300","25300","","","","","TA◆お部屋タイプお約束プラン／一泊二食付き","5","決済内容：エージェント精算★上記の宿泊料金は精算済です[ｲﾝﾀｰﾈｯﾄ予約/事前決済]。お客様からの収受は不要です。JTBよりお支払いします。入湯税・宿泊税・その他館内の利用料金等は、現地でお客様から収受してください。※下記、取扱個所が［Agoda外国語］の場合については、取消料はＪＴＢがお支払いします。お客様への請求は不要です。　ただし、現地払いの一部取消で、宿泊されるお客様が既にご到着されている場合は、直接お客様よりご収受ください。残室数（通知作成時の残室状況です）：「本予約はHR客室在庫を使用(残室数は今現在の数値ではございません)」10月10日 X5 残室 ※室         05 残室 ※室","JTB事前決済_HR2","人員単価","サ込税込"
"1359045094828355","取消","1477312215","12Z","20260616","20260617","1","和室12.5畳","1","2","2","","","","","","","","","","","","Bar-2食付き-旬会席 - 1477312215","2","決済内容：エージェント精算★Including breakfastGuest Names: CHAN LAI MAN","Trip.com Group(new)","室料単価","サ込税込"
"1359045094828355","予約","1477312215","12Z","20260616","20260617","1","和室12.5畳","1","2","2","","","","","","","","","","","","Bar-2食付き-旬会席 - 1477312215","2","決済内容：エージェント精算★Quiet room preferred;Smoke-free treatment required;Dinner - Seasonal Kaiseki course the chef is proud of 2  per day ;For contacting the guest please dial: +8651380103927(verification code:58260);Please contact guest by system generated mail (yufuinkotobukih.5blkx5fu6eu30rt@guest.trip.com), preferred language: (Chinese traditional);This booking was made through Trip.com, a Ctrip Group brand.;Contact guest by Chinese traditional; Contact Trip.com via lodgingsupport@trip.comIncluding breakfastGuest Names: CHAN LAI MAN","Trip.com Group(new)","室料単価","サ込税込"
"1734289960","予約","12807546","146","20260615","20260616","1","和室12.5畳素泊まり部屋","1","2","2","","0","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke[Benefits]Free WiFi, Parking[ExtraBed]0 [Nationality]South Korea [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"22315095965621","予約","15123457086822","11Z","20260626","20260627","1","和室12.5畳","1","2","2","","","","","","22330","","","","","","夕食は人気の豊後豚のしゃぶしゃぶで決まり！ [夕食付き] [朝食付き]","2","決済内容：法人利用★partner remarks: Please contact guest by system generated mail (yufuinkotobukih.5blkxd4h5wd30rt@guest.trip.com), preferred language: (Chinese traditional) 朝夕食付質問1：ご到着が１８：００を過ぎる場合は連絡をお願いします。質問2：2食付プランの場合、19:30までにチェックインしてください。19：30以降に到着した場合夕食を提供できない可能性があります（返金不可）質問3：2020年４月１日より全館・全室禁煙とさせていただきます。質問4：当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。質問5：大人のお客様は入湯税２５０円が別途必要です。質問6：0歳以上６歳以下のお子様で添寝の場合、施設使用料2200円（税込）が別途必要です。質問7：アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。質問8：お子様連れの場合、お子様の性別、年齢、人数をお教えください。6歳以下のお子様のお食事はお子様ランチとなります。7歳以上のお子様は大人と同等の料理内容になります。7歳以上のお子様のお食事をお子様ランチに変更希望の場合は必ず事前にご連絡下さい。(料金は変わりません)質問9：１５名様以上の団体予約のキャンセル料は１５日前から３０％となります。質問10：複数の客室をご予約の場合、事前にお知らせください。事前連絡がない場合、グループ様対応、連泊対応ができない場合がございます質問11：・ご到着が18:00を過ぎる場合は連絡をお願いします。・お子様連れの場合、お子様の性別、年齢、人数をお教えください。・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。・アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。Parent Booking ID:21315091647625DistributorID:4rlojy9w2026-06-05 11:11:50","楽天グローバルプラットフォーム","人員単価","サ込税込"
"1734271534","予約","12807546","146","20260722","20260723","1","和室12.5畳素泊まり部屋","1","4","2","","2","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke[Benefits]Free WiFi, Parking[ExtraBed]0 [Nationality]South Korea [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
